REGION,TECHNOLOGY,VALUE
CR,DIST_DSL,1.0
CR,DIST_GSL,1.0
CR,DIST_LPG,1.0
CR,DIST_FOI,1.0
CR,DIST_COK,1.0
CR,DIST_NGS,1.0
CR,PPHDAM,31.536
CR,PPHROR,31.536
CR,PPGEO,31.536
CR,PPWNDON,31.536
CR,PPPVT,31.536
CR,PPPVTHYD,31.536
CR,PPPVTS,31.536
CR,PPPVD,31.536
CR,PPPVDS,31.536
CR,PPBIO,31.536
CR,PPDSL,31.536
CR,PPFOI,31.536
CR,DIST_BM,1.0
CR,DIST_BF,1.0
CR,ELE_TRANS,1.0
CR,ELE_DIST,1.0
CR,HYD_G_PROD,1.0
CR,HYD_DIST,1.0
CR,T5DSLAGR,1.0
CR,T5ELEAGR,1.0
CR,T5LPGCOM,1.0
CR,T5ELECOM,1.0
CR,T5ELEPUB,1.0
CR,T5LPGRES,1.0
CR,T5ELERES,1.0
CR,T5ELEEXP,1.0
CR,T4DSL_PRI,1.0
CR,T4GSL_PRI,1.0
CR,T4LPG_PRI,1.0
CR,T4ELE_PRI,1.0
CR,T4DSL_PUB,1.0
CR,T4LPG_PUB,1.0
CR,T4ELE_PUB,1.0
CR,T4HYD_PUB,1.0
CR,T4GSL_PUB,1.0
CR,T4ELE_HEA,1.0
CR,T4DSL_HEA,1.0
CR,T4LPG_HEA,1.0
CR,T4HYD_HEA,1.0
CR,T4DSL_LIG,1.0
CR,T4GSL_LIG,1.0
CR,T4LPG_LIG,1.0
CR,T4ELE_LIG,1.0
CR,TRSUVDSL,1.0
CR,TRSUVGSL,1.0
CR,TRSUVLPG,1.0
CR,TRSUVELE,1.0
CR,TRSUVPHG,1.0
CR,TRSUVPHD,1.0
CR,TRSEDGSL,1.0
CR,TRSEDELE,1.0
CR,TRSEDPHG,1.0
CR,TRMOTGSL,1.0
CR,TRMOTELE,1.0
CR,TRBUSDSL,1.0
CR,TRBUSLPG,1.0
CR,TRBUSELE,1.0
CR,TRBUSHYD,1.0
CR,TRBUSPHD,1.0
CR,TRMBUSDSL,1.0
CR,TRMBUSLPG,1.0
CR,TRMBUSELE,1.0
CR,TRMBUSHYD,1.0
CR,TRMBUSPHD,1.0
CR,TRTAXDSL,1.0
CR,TRTAXGSL,1.0
CR,TRTAXELE,1.0
CR,TRTAXPHG,1.0
CR,TRTAXPHD,1.0
CR,TRXTRAIDSL,1.0
CR,TRXTRAIELE,1.0
CR,TRXTRAIFREELE,1.0
CR,TRYTKDSL,1.0
CR,TRYTKLPG,1.0
CR,TRYTKELE,1.0
CR,TRYTKHYD,1.0
CR,TRYTKPHD,1.0
CR,TRYLFDSL,1.0
CR,TRYLFGSL,1.0
CR,TRYLFLPG,1.0
CR,TRYLFELE,1.0
CR,TRYLFPHG,1.0
CR,TRYLFPHD,1.0
CR,Techs_SUVMIV,1.0
CR,Techs_Sedan,1.0
CR,Techs_Motos,1.0
CR,Techs_Buses,1.0
CR,Techs_Microbuses,1.0
CR,Techs_Taxis,1.0
CR,Techs_Trains,1.0
CR,Techs_Trains_Freight,1.0
CR,Techs_He_Freight,1.0
CR,Techs_Li_Freight,1.0
CR,T4DSL_AL1,1.0
CR,T4LPG_AL1,1.0
CR,T4ELE_AL1,1.0
CR,T4HYD_AL1,1.0
CR,T4NGS_AL1,1.0
CR,T4FOI_AL1,1.0
CR,T4BIO_AL1,1.0
CR,T4ELE_CEM,1.0
CR,T4HYD_CEM,1.0
CR,T4COK_CEM,1.0
CR,T4BIO_CEM,1.0
CR,T4LPG_GLA,1.0
CR,T4ELE_GLA,1.0
CR,T4HYD_GLA,1.0
CR,T4NGS_GLA,1.0
CR,T4FOI_GLA,1.0
CR,T4DSL_FBO,1.0
CR,T4LPG_FBO,1.0
CR,T4ELE_FBO,1.0
CR,T4FOI_FBO,1.0
CR,T4BIO_FBO,1.0
CR,T4DSL_AL2,1.0
CR,T4LPG_AL2,1.0
CR,T4ELE_AL2,1.0
CR,T4DSL_AL3,1.0
CR,T4LPG_AL3,1.0
CR,T4ELE_AL3,1.0
CR,T4BIO_AL3,1.0
CR,T4ELE_AL4,1.0
CR,INBOIDSL,31.536
CR,INBOILPG,31.536
CR,INBOIELE,31.536
CR,INBOIHYD,31.536
CR,INBOINGS,31.536
CR,INBOIFOI,31.536
CR,INBOIBIO,31.536
CR,INHCEELE,31.536
CR,INHCEHYD,31.536
CR,INHCECOK,31.536
CR,INHCEBO2,31.536
CR,INHCEBIO,31.536
CR,INHGLLPG,31.536
CR,INHGLELE,31.536
CR,INHGLHYD,31.536
CR,INHGLNGS,31.536
CR,INHGLFOI,31.536
CR,INHFODSL,31.536
CR,INHFOLPG,31.536
CR,INHFOELE,31.536
CR,INHFOMCO,31.536
CR,INHFOFOI,31.536
CR,INHFOBIO,31.536
CR,INLTRDSL,31.536
CR,INLTRLPG,31.536
CR,INLTRELE,31.536
CR,INOPGDSL,31.536
CR,INOPGLPG,31.536
CR,INOPGELE,31.536
CR,INOPGBIO,31.536
CR,INEDOELE,31.536
CR,Techs_Boilers,31.536
CR,Techs_HeatCement,31.536
CR,Techs_HeatGlass,31.536
CR,Techs_HeatFood,31.536
CR,Techs_LiftTruck,31.536
CR,Techs_OnsitePowerGen,31.536
CR,Techs_ElectricityOther,31.536
CR,TRANOMOTBike,1.0
CR,TRANOMOTWalk,1.0
CR,TRANPUB,1.0
CR,TRANRAILINF,1.0
CR,TRANRAILCAR,1.0
CR,TRANE6NOMOT,1.0
CR,TRANRAILFREINF,1.0
